store_code,store_name,item_code,to_qty,sorted_qty_excl_059,gap,status
WH-MAIN,WH-MAIN (putaway),336394,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336400,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336406,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336466,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336467,0.00,9.00,-9.00,OVER
019,019 - Geel Alnaka - MAATC,336053,9.00,1.00,8.00,SHORT
035,035 - Lacali - MAATC,336050,9.00,1.00,8.00,SHORT
WH-MAIN,WH-MAIN (putaway),336162,0.00,8.00,-8.00,OVER
036,036 - Lacaly Dareen Mall - MAATC,336064,8.00,1.00,7.00,SHORT
WH-MAIN,WH-MAIN (putaway),336191,0.00,7.00,-7.00,OVER
WH-MAIN,WH-MAIN (putaway),336388,0.00,7.00,-7.00,OVER
011,011 - Hail - Almoosa - MAATC,336042,6.00,0.00,6.00,SHORT
028,028 - North of Buridah Almoosa - MAATC,336042,6.00,0.00,6.00,SHORT
031,031 - Al Mousa Tabuk - MAATC,336042,6.00,0.00,6.00,SHORT
031,031 - Al Mousa Tabuk - MAATC,336054,6.00,0.00,6.00,SHORT
031,031 - Al Mousa Tabuk - MAATC,336056,6.00,0.00,6.00,SHORT
034,034 - Lacaly Jeddah - MAATC,336042,6.00,0.00,6.00,SHORT
034,034 - Lacaly Jeddah - MAATC,336053,6.00,0.00,6.00,SHORT
034,034 - Lacaly Jeddah - MAATC,336054,6.00,0.00,6.00,SHORT
034,034 - Lacaly Jeddah - MAATC,336056,6.00,0.00,6.00,SHORT
035,035 - Lacali - MAATC,336042,6.00,0.00,6.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336042,6.00,0.00,6.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336042,6.00,0.00,6.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336043,6.00,0.00,6.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336054,6.00,0.00,6.00,SHORT
WH-MAIN,WH-MAIN (putaway),336113,0.00,6.00,-6.00,OVER
WH-MAIN,WH-MAIN (putaway),336198,0.00,6.00,-6.00,OVER
019,019 - Geel Alnaka - MAATC,336042,5.00,0.00,5.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336043,6.00,1.00,5.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336050,6.00,1.00,5.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336053,6.00,1.00,5.00,SHORT
